,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,-9999
125,Barry Corr,ie IRL,FW,Southend United,25,1985,41,32,2953,32.8,18,3,21,15,3,3,8,0,0.55,0.09,0.64,0.46,0.55,0550d14e
126,Graham Coughlan,ie IRL,DF,Southend United,35,1974,33,28,2482,27.6,0,2,2,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,327daa3b
127,Tom Coulton,eng ENG,GK,Barnet,17,1992,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,355b57f7
128,Niall Cowperthwaite,eng ENG,DFMF,Morecambe,18,1992,7,6,606,6.7,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,7bea3c91
129,Kristian Cox,eng ENG,FW,Port Vale,17,1992,1,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,78d013ab
130,Sam Cox,gy GUY,DFMF,Barnet,19,1990,10,5,487,5.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,d9716f2b
131,Tom Craddock,eng ENG,FW,Oxford United,23,1986,39,36,2923,32.5,14,5,19,11,3,3,6,0,0.43,0.15,0.59,0.34,0.49,3bfd4247
132,Ian Craney,eng ENG,MF,Accrington,28,1982,22,22,1846,20.5,7,6,13,7,0,0,3,0,0.34,0.29,0.63,0.34,0.63,e8818709
133,Harry Crawford,ie IRL,FW,Southend United,18,1991,23,5,675,7.5,2,1,3,1,1,1,2,0,0.27,0.13,0.40,0.13,0.27,2a1683b9
134,Mark Creighton,eng ENG,DF,Oxford United,28,1981,7,5,391,4.3,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,a2448147
135,Ryan Cresswell,eng ENG,DF,Rotherham,22,1987,22,21,1867,20.7,4,1,5,4,0,0,3,0,0.19,0.05,0.24,0.19,0.24,39d496a8
136,Lance Cronin,eng ENG,GK,Gillingham,24,1985,7,7,630,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,dca46a5d
137,Mark Cullen,eng ENG,FW,Bradford City,18,1992,4,1,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,c6f5f773
138,Luke Daley,eng ENG,MF,Stevenage,20,1989,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,5f3c3191
139,Omar Daley,jm JAM,MF,Bradford City,29,1981,26,22,1766,19.6,5,3,8,4,1,1,4,0,0.25,0.15,0.41,0.20,0.36,7ce4b59e
140,Omar Daley,jm JAM,MF,Rotherham,29,1981,8,2,377,4.2,1,0,1,1,0,0,1,0,0.24,0.00,0.24,0.24,0.24,7ce4b59e
141,Colin Daniel,eng ENG,DFMF,Macclesfield,22,1988,43,36,3291,36.6,8,1,9,8,0,0,3,0,0.22,0.03,0.25,0.22,0.25,c2684852
142,Cameron Darkwah,eng ENG,FWMF,Stockport,17,1992,6,0,92,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,30830220
143,Callum Davies,eng ENG,DF,Gillingham,17,1993,1,1,28,0.3,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,3f0a8fbf
144,Craig Davies,wls WAL,FW,Chesterfield,24,1986,41,41,3488,38.8,23,2,25,23,0,1,9,1,0.59,0.05,0.65,0.59,0.65,8601380a
145,Scott Davies,ie IRL,DFMF,Wycombe,22,1988,8,5,462,5.1,1,0,1,1,0,0,2,0,0.19,0.00,0.19,0.19,0.19,7862840b
146,David Davis,eng ENG,MF,Shrewsbury,19,1991,19,19,1627,18.1,2,1,3,2,0,0,5,0,0.11,0.06,0.17,0.11,0.17,d992542e
147,Harry Davis,eng ENG,DF,Crewe Alexandra,18,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,04d0f653
148,Joe Davis,eng ENG,DF,Port Vale,16,1993,1,0,21,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,bf9f54db
149,Liam Davis,eng ENG,DFMF,Northampton,23,1986,33,32,2679,29.8,2,3,5,2,0,0,2,1,0.07,0.10,0.17,0.07,0.17,0d7eef8b
150,Chris Day,eng ENG,GK,Stevenage,35,1975,46,46,4140,46.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,6c9c2ba5
151,Luke Dean,eng ENG,MF,Bradford City,19,1991,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,40fe419b
