,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
121,Sonny Carey,eng ENG,MFFW,Blackpool,20,2001,11,5,491,5.5,1,0,1,1,0,0,2,0,0.18,0.00,0.18,0.18,0.18,Matches,1db3715b
122,Juan Carlos Familia,do DOM,MF,Birmingham City,21,2000,3,1,84,0.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c7ff30a3
123,Andy Carroll,eng ENG,FW,Reading,32,1989,8,6,592,6.6,2,1,3,2,0,0,0,0,0.30,0.15,0.46,0.30,0.46,Matches,b581987a
124,Andy Carroll,eng ENG,FW,West Brom,32,1989,15,11,1034,11.5,3,0,3,3,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,b581987a
125,Hayden Carter,eng ENG,DF,Blackburn,21,1999,9,5,584,6.5,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,40f85b8f
126,Harvey Cartwright,eng ENG,GK,Hull City,19,2002,2,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42d4be51
127,Fabio Carvalho,pt POR,MF,Fulham,18,2002,36,33,2831,31.5,11,7,18,11,0,0,5,0,0.35,0.22,0.57,0.35,0.57,Matches,966e28d0
128,João Carvalho,pt POR,MF,Nottingham,24,1997,7,2,241,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,36b76751
129,Oliver Casey,eng ENG,DF,Blackpool,20,2000,6,3,350,3.9,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,2d82641c
130,Eiran Cashin,ie IRL,DF,Derby County,19,2001,18,14,1273,14.1,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,f557c3b8
131,Quevin Castro,pt POR,FW,West Brom,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a5ccd658
132,Ivan Cavaleiro,pt POR,MF,Fulham,27,1993,18,5,600,6.7,2,0,2,2,0,0,1,0,0.30,0.00,0.30,0.30,0.30,Matches,979b811d
133,Ilias Chair,ma MAR,MFFW,QPR,23,1997,39,37,3148,35.0,9,5,14,9,0,0,5,0,0.26,0.14,0.40,0.26,0.40,Matches,ad7873cb
134,Nathaniel Chalobah,eng ENG,MF,Fulham,26,1994,20,11,944,10.5,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,422862ea
135,Harry Chapman,eng ENG,FWMF,Blackburn,23,1997,3,0,47,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7768b19f
136,James Chester,wls WAL,DF,Stoke City,32,1989,17,16,1432,15.9,0,2,2,0,0,0,1,0,0.00,0.13,0.13,0.00,0.13,Matches,a772eba6
137,Tahith Chong,cw CUW,FWMF,Birmingham City,21,1999,20,18,1555,17.3,1,2,3,1,0,0,2,0,0.06,0.12,0.17,0.06,0.17,Matches,2696b6a9
138,Cyrus Christie,ie IRL,MFDF,Swansea City,28,1992,23,23,2004,22.3,3,4,7,3,0,0,8,0,0.13,0.18,0.31,0.13,0.31,Matches,7eb67dad
139,Ryan Christie,sct SCO,FWMF,Bournemouth,26,1995,38,36,2997,33.3,3,8,11,3,0,0,6,0,0.09,0.24,0.33,0.09,0.33,Matches,26ce2263
