,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,#NAME?
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
142,Rafael van der Vaart,nl NED,MF,Tottenham,27,1983,28,28,2222,24.7,13,8,21,9,4,4,4,0,0.53,0.32,0.85,0.36,0.69,Matches,41473b67
143,Matt Derbyshire,eng ENG,FW,Birmingham City,24,1986,13,4,470,5.2,0,0,0,0,0,0,1,0,0,0,0,0,0,Matches,193ed0c0
144,Franco Di Santo,ar ARG,FW,Wigan Athletic,21,1989,25,9,928,10.3,1,2,3,1,0,0,2,0,0.1,0.19,0.29,0.1,0.29,Matches,549c6ba7
145,Abou Diaby,fr FRA,MF,Arsenal,24,1986,16,13,954,10.6,2,3,5,2,0,0,1,1,0.19,0.28,0.47,0.19,0.47,Matches,8c8b5071
146,Alessandro Diamanti,it ITA,FWMF,West Ham,27,1983,1,0,19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,cb5af1af
147,Mohamed Diamé,sn SEN,MF,Wigan Athletic,23,1987,36,30,2633,29.3,1,2,3,1,0,0,6,0,0.03,0.07,0.1,0.03,0.1,Matches,b7d082af
148,Salif Diao,sn SEN,MF,Stoke City,33,1977,8,3,236,2.6,0,0,0,0,0,0,3,0,0,0,0,0,0,Matches,acc326da
149,Kagisho Dikgacoi,za RSA,MF,Fulham,25,1984,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,701d7cac
150,Sylvain Distin,fr FRA,DF,Everton,32,1977,38,38,3409,37.9,2,0,2,2,0,0,1,0,0.05,0,0.05,0.05,0.05,Matches,002d06bb
151,Johan Djourou,ch SUI,DF,Arsenal,23,1987,22,20,1794,19.9,1,0,1,1,0,0,3,0,0.05,0,0.05,0.05,0.05,Matches,b8673e18
